MÊS ;DATA;TRANSPORTADORA;LIBERADOS;MALHA ;OPERAÇÃO;TOTAL TRANSPORTADORAS;% MALHA
Julho;2025-07-12;Zumpy;20;2;LML;22;0.091
Julho;2025-07-12;Zoom;5;1;LML;6;0.167
Julho;2025-07-12;Assis Rio;43;3;Direta;46;0.065
Julho;2025-07-12;PJ;20;2;Direta;22;0.091
Julho;2025-07-12;TRILOG;6;1;Direta;7;0.143
Julho;2025-07-12;REU;29;3;Direta;32;0.094
Julho;2025-07-12;Riviera;2;1;Direta;3;0.333
Julho;2025-07-13;FE;0;0;LML;0;0.0
Julho;2025-07-13;DMD;0;0;LML;0;0.0
Julho;2025-07-13;Zumpy;0;0;LML;0;0.0
Julho;2025-07-13;Zoom;0;0;LML;0;0.0
Julho;2025-07-13;Assis Rio;0;0;Direta;0;0.0
Julho;2025-07-13;PJ;0;0;Direta;0;0.0
Julho;2025-07-13;TRILOG;0;0;Direta;0;0.0
Julho;2025-07-13;REU;0;0;Direta;0;0.0
Julho;2025-07-13;Riviera;0;0;Direta;0;0.0
Julho;2025-07-14;FE;32;4;LML;36;0.111
Julho;2025-07-14;DMD;20;1;LML;21;0.048
Julho;2025-07-14;Zumpy;46;3;LML;49;0.061
Julho;2025-07-14;Zoom;7;2;LML;9;0.222
Julho;2025-07-14;Assis Rio;47;3;Direta;50;0.06
Julho;2025-07-14;PJ;16;2;Direta;18;0.111
Julho;2025-07-14;TRILOG;6;2;Direta;8;0.25
Julho;2025-07-14;REU;33;3;Direta;36;0.083
Julho;2025-07-14;Riviera;8;0;Direta;8;0.0
Julho;2025-07-15;FE;38;7;LML;45;0.156
Julho;2025-07-15;DMD;22;0;LML;22;0.0
Julho;2025-07-15;Zumpy;48;2;LML;50;0.04
Julho;2025-07-15;Zoom;7;0;LML;7;0.0
Julho;2025-07-15;Assis Rio;42;4;Direta;46;0.087
Julho;2025-07-15;PJ;18;1;Direta;19;0.053
Julho;2025-07-15;TRILOG;7;2;Direta;9;0.222
Julho;2025-07-15;REU;29;1;Direta;30;0.033
Julho;2025-07-15;Riviera;7;2;Direta;9;0.222
Julho;2025-07-16;FE;36;3;LML;39;0.077
Julho;2025-07-16;DMD;26;1;LML;27;0.037
Julho;2025-07-16;Zumpy;49;3;LML;52;0.058
Julho;2025-07-16;Zoom;8;2;LML;10;0.2
Julho;2025-07-16;Assis Rio;45;4;Direta;49;0.082
Julho;2025-07-16;PJ;15;4;Direta;19;0.211
Julho;2025-07-16;TRILOG;5;1;Direta;6;0.167
Julho;2025-07-16;REU;27;0;Direta;27;0.0
Julho;2025-07-16;Riviera;4;0;Direta;4;0.0
Julho;2025-07-17;FE;36;4;LML;40;0.1
Julho;2025-07-17;DMD;27;3;LML;30;0.1
Julho;2025-07-17;Zumpy;49;1;LML;50;0.02
Julho;2025-07-17;Zoom;7;1;LML;8;0.125
Julho;2025-07-17;Assis Rio;47;2;Direta;49;0.041
Julho;2025-07-17;PJ;16;2;Direta;18;0.111
Julho;2025-07-17;TRILOG;7;0;Direta;7;0.0
Julho;2025-07-17;REU;26;1;Direta;27;0.037
Julho;2025-07-17;Riviera;8;2;Direta;10;0.2
Julho;2025-07-18;FE;37;4;LML;41;0.098
Julho;2025-07-18;DMD;27;1;LML;28;0.036
Julho;2025-07-18;Zumpy;47;4;LML;51;0.078
Julho;2025-07-18;Zoom;9;0;LML;9;0.0
Julho;2025-07-18;Assis Rio;44;3;Direta;47;0.064
